NE,Card,Object,Tx Optical Power(dBm),Rx Optical Power(dBm),Tx Laser Bias Current(mA),Transceiver Temperature(Celsius),3.3V supply voltage(V),+5V supply voltage(V),+1.8V supply voltage(V),XFP temperature(Celsius),TEC current(mA),Laser wavelength(nm)
Pereval,XS A:SAM_16,oPort 1-SFP,0.6,-22.7,20.5,36.0,3.31,NA,NA,NA,NA,NA
Pereval,XS B:SAM_16,oPort 1-SFP,0.5,-11.3,19.8,33.5,3.31,NA,NA,NA,NA,NA
Pereval,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.1,-6.7,11.8,25.0,3.28,NA,NA,NA,NA,NA
Pereval,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,22.6,3.29,NA,NA,NA,NA,NA
Rudnaya,XS A:SAM_16,oPort 1-SFP,0.5,-9.5,24.4,48.0,3.3,NA,NA,NA,NA,NA
Rudnaya,XS B:SAM_16,oPort 1-SFP,0.5,-9.3,23.4,45.2,3.31,NA,NA,NA,NA,NA
Rudnaya,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.2,-5.3,12.8,35.5,3.27,NA,NA,NA,NA,NA
Rudnaya,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,32.9,3.29,NA,NA,NA,NA,NA
Kultuk_BG,XS A:SAM_16,oPort 1-SFP,0.4,-24.1,23.7,46.5,3.32,NA,NA,NA,NA,NA
Kultuk_BG,XS B:SAM_16,oPort 1-SFP,0.5,-18.5,21.3,44.8,3.3,NA,NA,NA,NA,NA
Kultuk_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-4.4,12.5,36.0,3.26,NA,NA,NA,NA,NA
Kultuk_BG,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,33.0,3.28,NA,NA,NA,NA,NA
Lugovaya,XS A:SAM_16,oPort 1-SFP,0.5,-10.8,22.3,43.5,3.31,NA,NA,NA,NA,NA
Lugovaya,XS B:SAM_16,oPort 1-SFP,0.5,-24.6,20.9,40.1,3.31,NA,NA,NA,NA,NA
Lugovaya,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-4.4,12.6,32.6,3.26,NA,NA,NA,NA,NA
Lugovaya,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,30.1,3.27,NA,NA,NA,NA,NA
Svetlaya,XS A:SAM_16,oPort 1-SFP,2.0,-11.9,25.6,30.0,3.32,NA,NA,NA,NA,NA
Svetlaya,XS B:SAM_16,oPort 1-SFP,1.7,-11.5,25.8,27.9,3.3,NA,NA,NA,NA,NA
Svetlaya,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-6.7,-6.0,8.8,32.3,3.27,NA,NA,NA,NA,NA
Svetlaya,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-21.4,-40.0,0.3,26.4,3.29,NA,NA,NA,NA,NA
Svetlaya,TS2:DMGE_4_L2,GE-ETY port 3-SFP,,,,,,,,,,
Svetlaya,TS2:DMGE_4_L2,GE-ETY port 4-SFP,,,,,,,,,,
Klyuchi_3,XS A:SAM_16,oPort 1-SFP,0.6,-15.9,21.1,39.3,3.31,NA,NA,NA,NA,NA
Klyuchi_3,XS B:SAM_16,oPort 1-SFP,0.5,-12.8,20.7,37.3,3.31,NA,NA,NA,NA,NA
Klyuchi_3,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-4.7,11.8,29.0,3.26,NA,NA,NA,NA,NA
Klyuchi_3,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,25.8,3.28,NA,NA,NA,NA,NA
Shelehovo,XS A:SAM_16,oPort 1-SFP,0.4,-22.1,24.3,49.1,3.31,NA,NA,NA,NA,NA
Shelehovo,XS B:SAM_16,oPort 1-SFP,0.5,-23.6,22.9,47.7,3.31,NA,NA,NA,NA,NA
Shelehovo,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-4.5,12.7,37.6,3.27,NA,NA,NA,NA,NA
Shelehovo,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,34.4,3.29,NA,NA,NA,NA,NA
Malaya_Elan,XS A:SAM_16,oPort 1-SFP,2.6,-12.0,27.7,42.0,3.25,NA,NA,NA,NA,NA
Malaya_Elan,XS B:SAM_16,oPort 1-SFP,2.3,-23.0,84.2,20.9,3.29,NA,NA,NA,NA,NA
Malaya_Elan,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-6.2,-5.9,10.3,38.9,3.25,NA,NA,NA,NA,NA
Malaya_Elan,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,0.0,29.1,3.29,NA,NA,NA,NA,NA
Malaya_Elan,TS2:DMGE_4_L2,GE-ETY port 3-SFP,,,,,,,,,,
Malaya_Elan,TS2:DMGE_4_L2,GE-ETY port 4-SFP,,,,,,,,,,
Izumrudnaya,XS A:SAM_16,oPort 1-SFP,0.5,-13.9,22.5,48.3,3.31,NA,NA,NA,NA,NA
Izumrudnaya,XS B:SAM_16,oPort 1-SFP,0.5,-13.3,23.1,46.5,3.32,NA,NA,NA,NA,NA
Izumrudnaya,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.2,-4.5,14.0,37.2,3.26,NA,NA,NA,NA,NA
Izumrudnaya,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,34.4,3.28,NA,NA,NA,NA,NA
Sputnik,XS A:SAM_16,oPort 1-SFP,0.4,-9.9,20.6,37.6,3.32,NA,NA,NA,NA,NA
Sputnik,XS B:SAM_16,oPort 1-SFP,0.6,-12.7,21.3,35.5,3.31,NA,NA,NA,NA,NA
Sputnik,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.8,-5.0,11.6,26.4,3.27,NA,NA,NA,NA,NA
Sputnik,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,23.6,3.28,NA,NA,NA,NA,NA
UES_BG,XS A:SAM_16,oPort 1-SFP,0.5,-11.5,23.0,54.3,3.31,NA,NA,NA,NA,NA
UES_BG,XS B:SAM_16,oPort 1-SFP,2.4,-15.7,62.6,30.7,3.29,NA,NA,NA,NA,NA
UES_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-4.8,14.5,43.2,3.26,NA,NA,NA,NA,NA
UES_BG,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,40.4,3.28,NA,NA,NA,NA,NA
UES_BG,TS2:DMGE_4_L2,GE-ETY port 3-SFP,,,,,,,,,,
UES_BG,TS2:DMGE_4_L2,GE-ETY port 4-SFP,,,,,,,,,,
UES_BG,TS3:SMQ1&4,oPort 1-SFP,1.8,-10.8,30.0,52.8,3.22,NA,NA,NA,NA,NA
UES_BG,TS3:SMQ1&4,oPort 2-SFP,-10.7,-10.9,6.5,38.6,3.24,NA,NA,NA,NA,NA
UES_BG,TS3:SMQ1&4,oPort 3-SFP,-10.6,-11.8,8.1,37.6,3.25,NA,NA,NA,NA,NA
UES_BG,TS3:SMQ1&4,oPort 4-SFP,,,,,,,,,,
Irkutskaya_BG,XS A:SAM_16,oPort 1-SFP,0.5,-13.3,23.1,45.8,3.31,NA,NA,NA,NA,NA
Irkutskaya_BG,XS B:SAM_16,oPort 1-SFP,0.4,-11.7,22.5,43.6,3.31,NA,NA,NA,NA,NA
Irkutskaya_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-4.6,12.2,37.1,3.26,NA,NA,NA,NA,NA
Irkutskaya_BG,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-5.0,-7.5,12.2,36.6,3.26,NA,NA,NA,NA,NA
Irkutskaya_BG,TS2:DMGE_4_L2,GE-ETY port 3-SFP,-4.9,-7.8,12.3,34.5,3.26,NA,NA,NA,NA,NA
UP-15,XS A:SAM_16,oPort 1-SFP,0.4,-13.6,23.0,46.8,3.31,NA,NA,NA,NA,NA
UP-15,XS B:SAM_16,oPort 1-SFP,0.4,-14.1,22.3,43.4,3.3,NA,NA,NA,NA,NA
UP-15,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-4.1,13.5,35.9,3.26,NA,NA,NA,NA,NA
UP-15,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,32.4,3.28,NA,NA,NA,NA,NA
Belorechenskaya,XS A:SAM_16,oPort 1-SFP,0.4,-14.9,18.8,33.1,3.32,NA,NA,NA,NA,NA
Belorechenskaya,XS B:SAM_16,oPort 1-SFP,0.6,-12.8,18.6,32.0,3.31,NA,NA,NA,NA,NA
Belorechenskaya,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.1,-4.1,12.9,22.5,3.26,NA,NA,NA,NA,NA
Belorechenskaya,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,20.9,3.28,NA,NA,NA,NA,NA
Lesozavod,XS A:SAM_16,oPort 1-SFP,0.4,-22.1,20.5,42.3,3.32,NA,NA,NA,NA,NA
Lesozavod,XS B:SAM_16,oPort 1-SFP,0.4,-12.8,20.7,40.3,3.32,NA,NA,NA,NA,NA
Lesozavod,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.1,-4.9,13.6,32.4,3.27,NA,NA,NA,NA,NA
Lesozavod,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,29.6,3.29,NA,NA,NA,NA,NA
ChRES,XS A:SAM_16,oPort 1-SFP,0.4,-14.0,22.3,44.8,3.3,NA,NA,NA,NA,NA
ChRES,XS B:SAM_16,oPort 1-SFP,0.5,-11.3,20.9,41.7,3.3,NA,NA,NA,NA,NA
ChRES,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.8,-5.8,12.8,33.6,3.27,NA,NA,NA,NA,NA
ChRES,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,30.7,3.29,NA,NA,NA,NA,NA
Cheremhovo_BG,XS A:SAM_16,oPort 1-SFP,0.5,-27.7,21.4,40.4,3.31,NA,NA,NA,NA,NA
Cheremhovo_BG,XS B:SAM_16,oPort 1-SFP,0.4,-11.8,20.6,36.3,3.31,NA,NA,NA,NA,NA
Cheremhovo_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-5.3,13.0,28.3,3.26,NA,NA,NA,NA,NA
Cheremhovo_BG,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-5.0,-40.0,11.2,27.2,3.26,NA,NA,NA,NA,NA
Cheremhovo_BG,TS3:SMQ1&4,oPort 1-SFP,-0.1,-17.4,20.4,28.1,3.19,NA,NA,NA,NA,NA
Cheremhovo_BG,TS3:SMQ1&4,oPort 2-SFP,-1.0,-12.5,19.3,26.9,3.2,NA,NA,NA,NA,NA
Cheremhovo_BG,TS3:SMQ1&4,oPort 3-SFP,-10.6,-10.8,5.8,24.2,3.25,NA,NA,NA,NA,NA
Cheremhovo_BG,TS3:SMQ1&4,oPort 4-SFP,,,,,,,,,,
Kutulik,XS A:SAM_16,oPort 1-SFP,,,,,,,,,,
Kutulik,XS B:SAM_16,oPort 1-SFP,,,,,,,,,,
Kutulik,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-4.9,13.6,36.8,3.27,NA,NA,NA,NA,NA
Kutulik,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,33.3,3.29,NA,NA,NA,NA,NA
Kutulik,TS3:SMQ1&4,oPort 1-SFP,-0.2,-14.7,23.3,36.5,3.2,NA,NA,NA,NA,NA
Kutulik,TS3:SMQ1&4,oPort 2-SFP,,,,,,,,,,
Kutulik,TS3:SMQ1&4,oPort 3-SFP,,,,,,,,,,
Kutulik,TS3:SMQ1&4,oPort 4-SFP,,,,,,,,,,
Zarya_BG,XS A:SAM_16,oPort 1-SFP,0.4,-12.1,21.9,43.2,3.31,NA,NA,NA,NA,NA
Zarya_BG,XS B:SAM_16,oPort 1-SFP,-40.0,-4.1,0.0,34.1,3.32,NA,NA,NA,NA,NA
Zarya_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-5.7,11.0,32.4,3.27,NA,NA,NA,NA,NA
Zarya_BG,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,27.8,3.29,NA,NA,NA,NA,NA
Zarya_BG,TS3:SMQ1&4,oPort 1-SFP,-1.2,-17.5,21.0,29.3,3.2,NA,NA,NA,NA,NA
Zarya_BG,TS3:SMQ1&4,oPort 2-SFP,,,,,,,,,,
Zarya_BG,TS3:SMQ1&4,oPort 3-SFP,,,,,,,,,,
Zarya_BG,TS3:SMQ1&4,oPort 4-SFP,,,,,,,,,,
Tyret_BG,XS A:SAM_16,oPort 1-SFP,-40.0,-40.0,0.0,43.1,3.32,NA,NA,NA,NA,NA
Tyret_BG,XS B:SAM_16,oPort 1-SFP,0.4,-12.0,23.1,45.0,3.31,NA,NA,NA,NA,NA
Tyret_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-6.8,13.5,36.8,3.26,NA,NA,NA,NA,NA
Tyret_BG,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,33.8,3.28,NA,NA,NA,NA,NA
Tyret_BG,TS3:SMQ1&4,oPort 1-SFP,-1.1,-14.6,22.7,38.2,3.21,NA,NA,NA,NA,NA
Tyret_BG,TS3:SMQ1&4,oPort 2-SFP,,,,,,,,,,
Tyret_BG,TS3:SMQ1&4,oPort 3-SFP,,,,,,,,,,
Tyret_BG,TS3:SMQ1&4,oPort 4-SFP,,,,,,,,,,
Altarik,XS A:SAM_16,oPort 1-SFP,0.5,-11.2,21.2,40.5,3.31,NA,NA,NA,NA,NA
Altarik,XS B:SAM_16,oPort 1-SFP,0.5,-21.1,21.4,38.7,3.31,NA,NA,NA,NA,NA
Altarik,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-4.7,13.1,30.2,3.27,NA,NA,NA,NA,NA
Altarik,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,27.6,3.29,NA,NA,NA,NA,NA
Bahtay,XS A:SAM_16,oPort 1-SFP,0.5,-11.8,18.7,33.8,3.31,NA,NA,NA,NA,NA
Bahtay,XS B:SAM_16,oPort 1-SFP,0.4,-12.2,19.4,31.9,3.32,NA,NA,NA,NA,NA
Bahtay,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.8,-3.6,12.3,22.7,3.27,NA,NA,NA,NA,NA
Bahtay,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,21.2,3.29,NA,NA,NA,NA,NA
Nukuty,XS A:SAM_16,oPort 1-SFP,0.4,-11.5,20.9,39.4,3.31,NA,NA,NA,NA,NA
Nukuty,XS B:SAM_16,oPort 1-SFP,0.5,-11.1,20.4,37.2,3.32,NA,NA,NA,NA,NA
Nukuty,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-5.3,12.9,28.6,3.28,NA,NA,NA,NA,NA
Nukuty,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,25.3,3.29,NA,NA,NA,NA,NA
Balagansk,XS A:SAM_16,oPort 1-SFP,0.5,-11.7,23.3,44.0,3.32,NA,NA,NA,NA,NA
Balagansk,XS B:SAM_16,oPort 1-SFP,0.5,-12.1,23.8,42.8,3.31,NA,NA,NA,NA,NA
Balagansk,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-4.8,13.1,34.1,3.26,NA,NA,NA,NA,NA
Balagansk,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,31.1,3.28,NA,NA,NA,NA,NA
Novoziminskaya_BG,XS A:SAM_16,oPort 1-SFP,0.5,-12.8,21.3,46.6,3.3,NA,NA,NA,NA,NA
Novoziminskaya_BG,XS B:SAM_16,oPort 1-SFP,0.6,-11.4,23.0,43.3,3.32,NA,NA,NA,NA,NA
Novoziminskaya_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-4.2,12.6,34.7,3.28,NA,NA,NA,NA,NA
Novoziminskaya_BG,TS2:DMGE_4_L2,GE-ETY port 2-SFP,,,,,,,,,,
Novoziminskaya_BG,TS3:SMQ1&4,oPort 1-SFP,-10.2,-14.8,18.2,34.1,3.25,NA,NA,NA,NA,NA
Novoziminskaya_BG,TS3:SMQ1&4,oPort 2-SFP,-0.2,-11.1,22.4,37.3,3.2,NA,NA,NA,NA,NA
Novoziminskaya_BG,TS3:SMQ1&4,oPort 3-SFP,-10.8,-10.3,6.5,34.0,3.26,NA,NA,NA,NA,NA
Novoziminskaya_BG,TS3:SMQ1&4,oPort 4-SFP,,,,,,,,,,
ZiminskiyRES,XS A:SAM_16,oPort 1-SFP,,,,,,,,,,
ZiminskiyRES,XS B:SAM_16,oPort 1-SFP,,,,,,,,,,
ZiminskiyRES,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-4.8,11.7,27.6,3.27,NA,NA,NA,NA,NA
ZiminskiyRES,TS2:DMGE_4_L2,GE-ETY port 2-SFP,,,,,,,,,,
ZiminskiyRES,TS3:SMQ1&4,oPort 1-SFP,-9.6,-13.7,16.5,25.3,3.26,NA,NA,NA,NA,NA
ZiminskiyRES,TS3:SMQ1&4,oPort 2-SFP,,,,,,,,,,
ZiminskiyRES,TS3:SMQ1&4,oPort 3-SFP,,,,,,,,,,
ZiminskiyRES,TS3:SMQ1&4,oPort 4-SFP,,,,,,,,,,
Stroibaza,XS A:SAM_16,oPort 1-SFP,0.5,-13.4,19.2,31.7,3.31,NA,NA,NA,NA,NA
Stroibaza,XS B:SAM_16,oPort 1-SFP,0.5,-13.5,19.6,29.1,3.31,NA,NA,NA,NA,NA
Stroibaza,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.1,-4.4,10.9,22.1,3.28,NA,NA,NA,NA,NA
Stroibaza,TS2:DMGE_4_L2,GE-ETY port 2-SFP,,,,,,,,,,
Oka,XS A:SAM_16,oPort 1-SFP,0.6,-14.2,20.4,36.3,3.31,NA,NA,NA,NA,NA
Oka,XS B:SAM_16,oPort 1-SFP,0.5,-9.4,19.5,34.8,3.31,NA,NA,NA,NA,NA
Oka,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-4.8,11.9,26.6,3.27,NA,NA,NA,NA,NA
Oka,TS2:DMGE_4_L2,GE-ETY port 2-SFP,,,,,,,,,,
ZSHK,XS A:SAM_16,oPort 1-SFP,0.4,-13.1,20.5,33.2,3.31,NA,NA,NA,NA,NA
ZSHK,XS B:SAM_16,oPort 1-SFP,0.6,-11.3,20.5,31.0,3.32,NA,NA,NA,NA,NA
ZSHK,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-5.1,11.2,22.7,3.27,NA,NA,NA,NA,NA
ZSHK,TS2:DMGE_4_L2,GE-ETY port 2-SFP,,,,,,,,,,
Harik,XS A:SAM_16,oPort 1-SFP,0.5,-11.5,18.9,29.8,3.32,NA,NA,NA,NA,NA
Harik,XS B:SAM_16,oPort 1-SFP,0.5,-13.6,18.5,27.3,3.31,NA,NA,NA,NA,NA
Harik,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-5.0,12.0,17.9,3.27,NA,NA,NA,NA,NA
Harik,TS2:DMGE_4_L2,GE-ETY port 2-SFP,,,,,,,,,,
Kuitun_BG,XS A:SAM_16,oPort 1-SFP,0.5,-15.0,22.3,40.9,3.3,NA,NA,NA,NA,NA
Kuitun_BG,XS B:SAM_16,oPort 1-SFP,0.5,-11.2,21.5,39.5,3.31,NA,NA,NA,NA,NA
Kuitun_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-5.3,12.4,29.5,3.27,NA,NA,NA,NA,NA
Kuitun_BG,TS2:DMGE_4_L2,GE-ETY port 2-SFP,,,,,,,,,,
Kuitun_BG,TS2:DMGE_4_L2,GE-ETY port 3-SFP,,,,,,,,,,
Kuitun_BG,TS2:DMGE_4_L2,GE-ETY port 4-SFP,,,,,,,,,,
Mayskaya,XS A:SAM_16,oPort 1-SFP,0.4,-9.2,20.2,43.2,3.32,NA,NA,NA,NA,NA
Mayskaya,XS B:SAM_16,oPort 1-SFP,0.5,-15.2,22.6,42.3,3.32,NA,NA,NA,NA,NA
Mayskaya,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-4.8,12.2,32.0,3.27,NA,NA,NA,NA,NA
Mayskaya,TS2:DMGE_4_L2,GE-ETY port 2-SFP,,,,,,,,,,
ZES_SSDTU,XS A:SAM_16,oPort 1-SFP,0.5,-12.7,22.4,46.3,3.31,NA,NA,NA,NA,NA
ZES_SSDTU,XS B:SAM_16,oPort 1-SFP,0.4,-12.8,22.3,44.7,3.31,NA,NA,NA,NA,NA
ZES_SSDTU,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-4.9,13.5,35.5,3.27,NA,NA,NA,NA,NA
ZES_SSDTU,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-37.0,4.0,33.1,3.29,NA,NA,NA,NA,NA
ZES_SSDTU,TS2:DMGE_4_L2,GE-ETY port 3-SFP,,,,,,,,,,
ZES_SSDTU,TS2:DMGE_4_L2,GE-ETY port 4-SFP,,,,,,,,,,
Tulun_BG,XS A:SAM_16,oPort 1-SFP,0.4,-13.2,22.4,46.9,3.31,NA,NA,NA,NA,NA
Tulun_BG,XS B:SAM_16,oPort 1-SFP,0.5,-10.4,20.7,42.1,3.31,NA,NA,NA,NA,NA
Tulun_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.8,-5.5,12.7,34.1,3.27,NA,NA,NA,NA,NA
Tulun_BG,TS2:DMGE_4_L2,GE-ETY port 4-SFP,-5.1,-5.7,12.6,29.7,3.27,NA,NA,NA,NA,NA
Tulun_BG,TS3:SMQ1&4,oPort 1-SFP,-10.6,-13.6,17.1,32.5,3.25,NA,NA,NA,NA,NA
Tulun_BG,TS3:SMQ1&4,oPort 2-SFP,-9.3,-14.3,18.9,32.6,3.25,NA,NA,NA,NA,NA
Tulun_BG,TS3:SMQ1&4,oPort 3-SFP,-11.5,-10.8,17.2,32.2,3.25,NA,NA,NA,NA,NA
Tulun_BG,TS3:SMQ1&4,oPort 4-SFP,-11.0,-11.7,6.5,33.2,3.25,NA,NA,NA,NA,NA
CEP,XS A:SAM_16,oPort 1-SFP,0.4,-15.8,20.0,35.1,3.32,NA,NA,NA,NA,NA
CEP,XS B:SAM_16,oPort 1-SFP,0.5,-11.0,19.7,33.4,3.32,NA,NA,NA,NA,NA
CEP,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-4.3,11.0,23.9,3.27,NA,NA,NA,NA,NA
CEP,TS2:DMGE_4_L2,GE-ETY port 2-SFP,,,,,,,,,,
Azeiskaya,XS A:SAM_16,oPort 1-SFP,0.4,-13.2,21.9,40.3,3.31,NA,NA,NA,NA,NA
Azeiskaya,XS B:SAM_16,oPort 1-SFP,0.5,-9.8,20.9,37.7,3.31,NA,NA,NA,NA,NA
Azeiskaya,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.8,-4.6,12.5,27.4,3.27,NA,NA,NA,NA,NA
Azeiskaya,TS2:DMGE_4_L2,GE-ETY port 2-SFP,,,,,,,,,,
Badar,XS A:SAM_16,oPort 1-SFP,0.5,-11.7,23.0,45.3,3.32,NA,NA,NA,NA,NA
Badar,XS B:SAM_16,oPort 1-SFP,0.5,-12.8,21.4,43.1,3.31,NA,NA,NA,NA,NA
Badar,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.1,-4.8,10.3,33.5,3.27,NA,NA,NA,NA,NA
Badar,TS2:DMGE_4_L2,GE-ETY port 2-SFP,,,,,,,,,,
Steklozavod,XS A:SAM_16,oPort 1-SFP,0.4,-13.5,21.5,46.9,3.31,NA,NA,NA,NA,NA
Steklozavod,XS B:SAM_16,oPort 1-SFP,0.4,-11.4,22.3,44.6,3.31,NA,NA,NA,NA,NA
Steklozavod,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-5.1,12.6,35.2,3.26,NA,NA,NA,NA,NA
Steklozavod,TS2:DMGE_4_L2,GE-ETY port 2-SFP,,,,,,,,,,
Tulun_2_BG,XS A:SAM_16,oPort 1-SFP,0.5,-11.1,23.4,46.6,3.3,NA,NA,NA,NA,NA
Tulun_2_BG,XS B:SAM_16,oPort 1-SFP,0.5,-15.5,23.3,45.8,3.31,NA,NA,NA,NA,NA
Tulun_2_BG,TS2:SMQ1&4,oPort 1-SFP,-10.0,-13.5,17.1,33.5,3.26,NA,NA,NA,NA,NA
Tulun_2_BG,TS2:SMQ1&4,oPort 2-SFP,,,,,,,,,,
Tulun_2_BG,TS2:SMQ1&4,oPort 3-SFP,,,,,,,,,,
Tulun_2_BG,TS2:SMQ1&4,oPort 4-SFP,-10.4,-11.3,13.9,31.3,3.26,NA,NA,NA,NA,NA
Tulun_2_BG,TS3:DMGE_4_L2,GE-ETY port 4-SFP,-5.0,-5.7,11.7,30.4,3.28,NA,NA,NA,NA,NA
Sheberta_BG,XS A:SAM_16,oPort 1-SFP,0.4,-11.4,23.6,48.2,3.3,NA,NA,NA,NA,NA
Sheberta_BG,XS B:SAM_16,oPort 1-SFP,0.5,-14.6,23.2,43.3,3.31,NA,NA,NA,NA,NA
Sheberta_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-4.4,12.6,34.3,3.27,NA,NA,NA,NA,NA
